start,qty_actual,timestamp,machine,material,quality,other,date,version,shift_work,qty_plan,department_id,line_id,process_id,% Plan,ST Plan,ST Actual
1,4428,1615034035,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4429,1615034061,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4430,1615034078,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4431,1615034105,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4432,1615034120,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4433,1615034139,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4434,1615034163,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4435,1615034171,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4436,1615034224,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4437,1615034246,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4438,1615034266,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4439,1615034285,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4440,1615034310,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4441,1615034338,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4442,1615034370,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4443,1615034393,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4444,1615034421,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4445,1615034439,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4446,1615034516,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4447,1615034551,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4448,1615034586,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4449,1615034629,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4450,1615034658,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4451,1615034684,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4452,1615034713,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
